title,date_announced,company_name,reference_number,url,assigned_category,sub_category
"NEW ISSUE OF SECURITIES (CHAPTER 6 OF LISTING REQUIREMENTS) : FUND RAISING INSAS BERHAD (""INSAS"" OR ""COMPANY"")
- PROPOSED RIGHTS ISSUE WITH WARRANTS; AND
- PROPOSED AMENDMENTS
(COLLECTIVELY, THE ""PROPOSALS"")",14/9/2020,INSAS BERHAD,GA1-14092020-00109,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088141,General Announcement,New Issue of Securities (Chapter 6 of listing requirements)
Letter Subject or Reference - UNUSUAL MARKET ACTIVITY,14/9/2020,MACPIE BERHAD,GA1-14092020-00105,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088149,Unusual Market Activity,Reply to UMA Query
"OTHERS PRESTARIANG BERHAD (""PRESTARIANG"" OR ""THE COMPANY"")
- STATUS OF PRESTARIANG SYSTEMS SDN. BHD. (""PSSB"") AS CHANNEL PARTNER OF MICROSOFT REGIONAL SALES PTE. LTD. (""MICROSOFT"")",15/9/2020,PRESTARIANG BERHAD,GA1-14092020-00117,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088156,General Announcement,OTHERS
PARLO - Unusual Market Activity,15/9/2020,PARLO BERHAD,ILC-15092020-00005,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088176,Unusual Market Activity,UMA Query by Bursa
"OTHERS OMESTI BERHAD
LETTER OF AWARD FROM JABATAN PENGANGKUTAN JALAN MALAYSIA",15/9/2020,OMESTI BERHAD,GA1-14092020-00065,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088191,General Announcement,OTHERS
"MULTIPLE PROPOSALS TA WIN HOLDINGS BERHAD (""TA WIN"" OR THE ""COMPANY"")
(I)	PROPOSED RIGHTS ISSUE;
(II)	PROPOSED DIVERSIFICATION; AND
(III)	PROPOSED SHARE BUY-BACK
(COLLECTIVELY, REFERRED TO AS THE ""PROPOSALS"")",15/9/2020,TA WIN HOLDINGS BERHAD,GA1-15092020-00039,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088194,General Announcement,Multiple Proposals
"OTHERS SURAT SETUJU TERIMA PERKHIDMATAN PENYELENGGARAAN DAN PEMBAHARUAN LESEN SISTEM MYGST UNTUK TAHUN 2020 HINGGA 2022 DI JABATAN KASTAM DIRAJA MALAYSIA (JKDM) BERJUMLAH RM42,010,604.82 TERMASUK CUKAI PERKHIDMATAN.",15/9/2020,MESINIAGA BERHAD,GA1-11092020-00024,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088204,General Announcement,OTHERS
MALTON - Unusual Market Activity,15/9/2020,MALTON BERHAD,ILC-15092020-00006,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088210,Unusual Market Activity,UMA Query by Bursa
"NEW ISSUE OF SECURITIES (CHAPTER 6 OF LISTING REQUIREMENTS) : FUND RAISING HIBISCUS PETROLEUM BERHAD (""HIBISCUS PETROLEUM"" OR ""THE COMPANY"")
(I)	PROPOSED PRIVATE PLACEMENT OF CRPS; AND
(II)	PROPOSED AMENDMENTS
(COLLECTIVELY REFERRED TO AS THE ""PROPOSALS"")",15/9/2020,HIBISCUS PETROLEUM BERHAD,GA1-15092020-00078,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088240,General Announcement,New Issue of Securities (Chapter 6 of listing requirements)
OTHERS APPOINTMENT OF CHIEF EXECUTIVE OFFICER,15/9/2020,ZELAN BERHAD,GA1-14092020-00063,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088257,General Announcement,OTHERS
